CanIdentifier,Type,Brand,Brew,Brewery,City,State,Caption,Size,Faces,Type,Side,Brand,Brew,Brewery,City,State,Caption,AltView,Price,Size,Faces,Tax,MandatoriesChanged,CanAdded
1029055,F,ACME,BEER,Acme,San Francisco,CA,"Red ""B"" in ""Beer"", ""...NOT OVER 3.2%...""",12,2,F,F,ACME,BEER,Acme,San Francisco,CA,"Red ""B"" in ""Beer"", ""...NOT OVER 3.2%...""",,,12,2,T,,Yes
1029060,F,ACME,BEER,Acme,San Francisco,CA,"Red ""B"" in ""Beer""",12,2,F,F,ACME,BEER,Acme,San Francisco,CA,"Red ""B"" in ""Beer""",,35,12,2,T,,
1029070,F,ACME,BEER,Acme,San Francisco,CA,"Black ""B"" in ""Beer""",12,2,F,F,ACME,BEER,Acme,San Francisco,CA,"Black ""B"" in ""Beer""",,75,12,2,W,,
1029080,F,ACME,BEER,Acme,San Francisco,CA,"Black ""B"" in ""Beer""",12,2,F,F,ACME,BEER,Acme,San Francisco,CA,"Black ""B"" in ""Beer""",,12,12,2,T,,
1029090,F,ACME,BEER,Acme,San Francisco,CA,,12,2,F,F,ACME,BEER,Acme,San Francisco,CA,,,12,12,2,,,
1029100,F,ACME LIGHT DRY,BEER,Acme,San Francisco,CA,,12,1,F,F,ACME LIGHT DRY,BEER,Acme,San Francisco,CA,,,15,12,1,,,
1029110,F,ACME THE LIGHT DRY,BEER,Acme,San Francisco,CA,,12,1,F,F,ACME THE LIGHT DRY,BEER,Acme,San Francisco,CA,,,15,12,1,,,
1029120,F,ACME GOLD LABEL,BEER,Acme,San Francisco,CA,"""...OUNCES -- ACME..."" at bottom",12,1,F,F,ACME GOLD LABEL,BEER,Acme,San Francisco,CA,"""...OUNCES -- ACME..."" at bottom",,15,12,1,,,
1029130,F,ACME GOLD LABEL,BEER,Acme,San Francisco,CA,"""...OUNCES ACME..."" at bottom",12,1,F,F,ACME GOLD LABEL,BEER,Acme,San Francisco,CA,"""...OUNCES ACME..."" at bottom",,10,12,1,,,
1029140,F,ACME GOLD LABEL PALE DRY,BEER,Acme,San Francisco,CA,"""Brewed from choicest grains and finest...""",12,1,F,F,ACME GOLD LABEL PALE DRY,BEER,Acme,San Francisco,CA,"""Brewed from choicest grains and finest...""",,25,12,1,,,
1029145,F,ACME GOLD LABEL PALE DRY,BEER,Acme,San Francisco,CA,"""A premium Pilsner beer brewed from choicest...""",12,1,F,F,ACME GOLD LABEL PALE DRY,BEER,Acme,San Francisco,CA,"""A premium Pilsner beer brewed from choicest...""",,,12,1,,,Yes
1029150,F,ACME,BOCK,Acme,San Francisco,CA,,12,1,F,F,ACME,BOCK,Acme,San Francisco,CA,,,600,12,1,,,
1029160,F,ACME GENUINE,BOCK,Acme,San Francisco,CA,,12,1,F,F,ACME GENUINE,BOCK,Acme,San Francisco,CA,,,175,12,1,,,
1029170,F,ACME,BEER,Cereal Prod. Ref. Corp.,San Francisco,CA,,12,1,F,F,ACME,BEER,Cereal Prod. Ref. Corp.,San Francisco,CA,,,100,12,1,OT,,
1029180,F,ACME FAMOUS,BEER,Grace Bros.,Santa Rosa,CA,,12,2,F,F,ACME FAMOUS,BEER,Grace Bros.,Santa Rosa,CA,,,40,12,2,,,
1029190,F,ADLER BRAU APPLETON,BEER,Geo. Walter,Appleton,WI,,12,2,F,F,ADLER BRAU APPLETON,BEER,Geo. Walter,Appleton,WI,,,40,12,2,,,
1029200,F,ADLER BRAU,BEER,Geo. Walter,Appleton,WI,,12,2,F,F,ADLER BRAU,BEER,Geo. Walter,Appleton,WI,,,20,12,2,,,
1029210,F,ADLER BRAU,BEER,Geo. Walter,Appleton,WI,,12,2,F,F,ADLER BRAU,BEER,Geo. Walter,Appleton,WI,,,15,12,2,,,
1029220,F,ADLER BRAU,BEER,Geo. Walter,Appleton,WI,,12,2,F,F,ADLER BRAU,BEER,Geo. Walter,Appleton,WI,,,65,12,2,,,
1029230,F,ADLER BRAU,BEER,Geo. Walter,Appleton,WI,,12,2,F,F,ADLER BRAU,BEER,Geo. Walter,Appleton,WI,,,15,12,2,,,
1029240,F,ALBION OLD STOCK,ALE,Southern,Los Angeles,CA,,12,1,F,F,ALBION OLD STOCK,ALE,Southern,Los Angeles,CA,,,225,12,1,,,
