CanIdentifier,Type,Brand,Brew,Brewery,City,State,Caption,Size,Faces,Type,Side,Brand,Brew,Brewery,City,State,Caption,AltView,Price,Size,Faces,Tax,MandatoriesChanged,CanAdded
1072280,F,GOLDEN BREW PREMIUM LAGER,BEER,Grace Bros.,Santa Rosa,CA,"""NET CONTENTS 12 FL. OZ."" at bottom",12,2,F,F,GOLDEN BREW PREMIUM LAGER,BEER,Grace Bros.,Santa Rosa,CA,"""NET CONTENTS 12 FL. OZ."" at bottom",,30,12,2,,,
1072290,F,GOLDEN BREW PREMIUM LAGER,BEER,Grace Bros.,Santa Rosa,CA,Contents seam left & at bottom,12,2,F,F,GOLDEN BREW PREMIUM LAGER,BEER,Grace Bros.,Santa Rosa,CA,Contents seam left & at bottom,,30,12,2,,,
1072295,F,GOLDEN BREW PREMIUM LAGER,BEER,Grace Bros.,Santa Rosa,CA,Contents only at bottom,12,2,F,F,GOLDEN BREW PREMIUM LAGER,BEER,Grace Bros.,Santa Rosa,CA,Contents only at bottom,,,12,2,,,Yes
1072300,F,GOLDEN BREW,BEER,Golden Brew,Lawrence,MA,,12,2,F,F,GOLDEN BREW,BEER,Golden Brew,Lawrence,MA,,,65,12,2,,Yes,
1072310,F,GOLDEN BREW,ALE,Diamond Spring,Lawrence,MA,"""GOLDEN BREW ALE"" on lid",12,2,F,F,GOLDEN BREW,ALE,Diamond Spring,Lawrence,MA,"""GOLDEN BREW ALE"" on lid",,45,12,2,,,
1072312,F,GOLDEN BREW,BEER,Diamond Spring,Lawrence,MA,"""GOLDEN BREW BEER"" on lid",12,2,F,F,GOLDEN BREW,BEER,Diamond Spring,Lawrence,MA,"""GOLDEN BREW BEER"" on lid",,,12,2,,,Yes
1072314,F,GOLDEN BREW,BOCK,Diamond Spring,Lawrence,MA,"""BOCK BEER"" on lid",12,2,F,F,GOLDEN BREW,BOCK,Diamond Spring,Lawrence,MA,"""BOCK BEER"" on lid",,,12,2,,,Yes
1072320,F,GOLDEN CROWN BRAND,BEER,Grace Bros LTD.,Los Angeles,CA,,12,1,F,F,GOLDEN CROWN BRAND,BEER,Grace Bros LTD.,Los Angeles,CA,,,1000+,12,1,OT,,
1072330,F,GOLDEN CROWN EXTRA PALE DRY,BEER,Southern,Los Angeles,CA,,12,2,F,F,GOLDEN CROWN EXTRA PALE DRY,BEER,Southern,Los Angeles,CA,,,25,12,2,,,
1072340,F,GOLDEN CROWN EXTRA PALE DRY,BEER,Maier,Los Angeles,CA,"Contents at top, metallic gold",12,2,F,F,GOLDEN CROWN EXTRA PALE DRY,BEER,Maier,Los Angeles,CA,"Contents at top, metallic gold",,25,12,2,,,
1072345,F,GOLDEN CROWN EXTRA PALE DRY,BEER,Maier,Los Angeles,CA,"Contents at top, dull gold",12,2,F,F,GOLDEN CROWN EXTRA PALE DRY,BEER,Maier,Los Angeles,CA,"Contents at top, dull gold",,,12,2,,,Yes
1072350,F,GOLDEN CROWN EXTRA PALE DRY,BEER,Maier,Los Angeles,CA,"Contents at bottom, enamel",12,2,F,F,GOLDEN CROWN EXTRA PALE DRY,BEER,Maier,Los Angeles,CA,"Contents at bottom, enamel",,12,12,2,,,
1072360,F,GOLDEN CROWN EXTRA PALE DRY,BEER,Grace Bros.,Santa Rosa,CA,,12,2,F,F,GOLDEN CROWN EXTRA PALE DRY,BEER,Grace Bros.,Santa Rosa,CA,,,8,12,2,,,
1072370,F,GOLDEN GATE,BEER,Maier,Los Angeles,CA,Contents seam left,12,2,F,F,GOLDEN GATE,BEER,Maier,Los Angeles,CA,Contents seam left,,125,12,2,,,
1072380,F,GOLDEN GATE,BEER,Maier,Los Angeles,CA,Contents at top,12,2,F,F,GOLDEN GATE,BEER,Maier,Los Angeles,CA,Contents at top,,125,12,2,,,
1072390,F,GOLDEN GATE,BEER,Regal Pale,San Francisco,CA,,11,2,F,F,GOLDEN GATE,BEER,Regal Pale,San Francisco,CA,,,110,11,2,,,
1072400,F,GOLDEN GLOW EXPORT,ALE,Golden West,Oakland,CA,,12,2,F,F,GOLDEN GLOW EXPORT,ALE,Golden West,Oakland,CA,,,350,12,2,OT,,
1073010,F,GOLDEN GLOW OLD STOCK XXX,ALE,Golden West,Oakland,CA,Orange label background,12,1,F,F,GOLDEN GLOW OLD STOCK XXX,ALE,Golden West,Oakland,CA,Orange label background,,125,12,1,T,,
1073020,F,GOLDEN GLOW OLD STOCK XXX,ALE,Golden West,Oakland,CA,Yellow label background,12,1,F,F,GOLDEN GLOW OLD STOCK XXX,ALE,Golden West,Oakland,CA,Yellow label background,,125,12,1,T,,
1073030,F,GOLDEN GLOW XXX,ALE,Golden West,Oakland,CA,,12,1,F,F,GOLDEN GLOW XXX,ALE,Golden West,Oakland,CA,,,125,12,1,T,,
1073040,F,GOLDEN GLOW XXX,ALE,Golden West,Oakland,CA,,12,2,F,F,GOLDEN GLOW XXX,ALE,Golden West,Oakland,CA,,,110,12,2,T,,
1073050,F,GOLDEN GLOW,ALE,Golden West,Oakland,CA,,12,2,F,F,GOLDEN GLOW,ALE,Golden West,Oakland,CA,,,600,12,2,T,,
1073060,F,GOLDEN GLOW EXPORT,BEER,Golden West,Oakland,CA,,12,2,F,F,GOLDEN GLOW EXPORT,BEER,Golden West,Oakland,CA,,,300,12,2,OT,,
1073070,F,GOLDEN GLOW GRADE A,BEER,Golden West,Oakland,CA,"""TRADEMARK..."" below ""GLOW""",12,1,F,F,GOLDEN GLOW GRADE A,BEER,Golden West,Oakland,CA,"""TRADEMARK..."" below ""GLOW""",,175,12,1,T,,
1073080,F,GOLDEN GLOW GRADE A,BEER,Golden West,Oakland,CA,"No ""TRADEMARK..."" below ""GLOW""",12,1,F,F,GOLDEN GLOW GRADE A,BEER,Golden West,Oakland,CA,"No ""TRADEMARK..."" below ""GLOW""",,175,12,1,T,,
1073090,F,GOLDEN GLOW PALE FULL-FLAVORED DRY,BEER,Golden West,Oakland,CA,,12,2,F,F,GOLDEN GLOW PALE FULL-FLAVORED DRY,BEER,Golden West,Oakland,CA,,,175,12,2,T,,
1073100,F,GOLDEN GLOW,BEER,Golden West,Oakland,CA,,12,2,F,F,GOLDEN GLOW,BEER,Golden West,Oakland,CA,,,65,12,2,T,,
1073110,F,GOLDEN GLOW,BEER,Golden West,Oakland,CA,,12,2,F,F,GOLDEN GLOW,BEER,Golden West,Oakland,CA,,,150,12,2,T,,
1073120,F,GOLDEN GLOW,BEER,Pacific,Oakland,CA,,12,2,F,F,GOLDEN GLOW,BEER,Pacific,Oakland,CA,,,125,12,2,,,
1073130,F,GOLDEN GLOW PILSENER,BEER,Jos. Huber,Monroe,WI,Metallic gold,12,2,F,F,GOLDEN GLOW PILSENER,BEER,Jos. Huber,Monroe,WI,Metallic gold,,40,12,2,,,
1073135,F,GOLDEN GLOW PILSENER,BEER,Jos. Huber,Monroe,WI,Dull gold,12,2,F,F,GOLDEN GLOW PILSENER,BEER,Jos. Huber,Monroe,WI,Dull gold,,,12,2,,,Yes
1073140,F,GOLDEN GRAIN,BEER,Maier,Los Angeles,CA,"Contents at top, gold & brown label background",12,2,F,F,GOLDEN GRAIN,BEER,Maier,Los Angeles,CA,"Contents at top, gold & brown label background",,10,12,2,,,
1073150,F,GOLDEN GRAIN,BEER,Maier,Los Angeles,CA,"Contents at top, brown label background",12,2,F,F,GOLDEN GRAIN,BEER,Maier,Los Angeles,CA,"Contents at top, brown label background",,10,12,2,,,
1073160,F,GOLDEN GRAIN,BEER,Maier,Los Angeles,CA,"Contents at bottom, brown label background",12,2,F,F,GOLDEN GRAIN,BEER,Maier,Los Angeles,CA,"Contents at bottom, brown label background",,10,12,2,,,
1073170,F,GOLDEN GRAIN,BEER,Mitchell,El Paso,TX,,12,2,F,F,GOLDEN GRAIN,BEER,Mitchell,El Paso,TX,,,35,12,2,,,
1073180,F,GOLDEN HARVEST SMOOTH 'N' MELLOW,BEER,Maier,Los Angeles,CA,,12,2,F,F,GOLDEN HARVEST SMOOTH 'N' MELLOW,BEER,Maier,Los Angeles,CA,,,75,12,2,,,
1073190,F,GOLDEN HARVEST LIGHT BRIGHT,BEER,Pacific,Oakland,CA,,12,2,F,F,GOLDEN HARVEST LIGHT BRIGHT,BEER,Pacific,Oakland,CA,,,800,12,2,,,
1073200,F,GOLDEN HOPS PREMIUM LAGER,BEER,Grace Bros.,Santa Rosa,CA,Contents seam right,12,2,F,F,GOLDEN HOPS PREMIUM LAGER,BEER,Grace Bros.,Santa Rosa,CA,Contents seam right,,50,12,2,,,
1073210,F,GOLDEN HOPS PREMIUM LAGER,BEER,Grace Bros.,Santa Rosa,CA,Contents seam right,12,2,F,F,GOLDEN HOPS PREMIUM LAGER,BEER,Grace Bros.,Santa Rosa,CA,Contents seam right,,50,12,2,,,
1073220,F,GOLDEN HOPS PREMIUM LAGER,BEER,Grace Bros.,Santa Rosa,CA,Contents at bottom & seam right,12,2,F,F,GOLDEN HOPS PREMIUM LAGER,BEER,Grace Bros.,Santa Rosa,CA,Contents at bottom & seam right,,50,12,2,,,
1073230,F,GOLDEN LAGER PREMIUM,BEER,Southern,Los Angeles,CA,,12,2,F,F,GOLDEN LAGER PREMIUM,BEER,Southern,Los Angeles,CA,,,50,12,2,,,
1073240,F,GOLDEN LAGER PREMIUM,BEER,Maier,Los Angeles,CA,,12,2,F,F,GOLDEN LAGER PREMIUM,BEER,Maier,Los Angeles,CA,,,40,12,2,,,
1073250,F,GOLDEN PILSNER PREMIUM QUALITY,BEER,Becker Products,Ogden,UT,,11,2,F,F,GOLDEN PILSNER PREMIUM QUALITY,BEER,Becker Products,Ogden,UT,,,35,11,2,,,
1073260,F,GOLDEN PILSNER PREMIUM QUALITY,BEER,Becker Products,Ogden,UT,,12,2,F,F,GOLDEN PILSNER PREMIUM QUALITY,BEER,Becker Products,Ogden,UT,,,35,12,2,,,
1073270,F,GOLDEN PILSNER PREMIUM QUALITY,BEER,Becker,Ogden,UT,,12,2,F,F,GOLDEN PILSNER PREMIUM QUALITY,BEER,Becker,Ogden,UT,,,35,12,2,,,
1073280,F,GOLDEN ROD,ALE,Edelbrau,New York,NY,,12,1,F,F,GOLDEN ROD,ALE,Edelbrau,New York,NY,,,1000+,12,1,T,,
1073290,F,GOLDEN ROD,BEER,Edelbrau,New York,NY,,12,1,F,F,GOLDEN ROD,BEER,Edelbrau,New York,NY,,,1000+,12,1,T,,
1073300,F,GOLDEN ROD,BEER,Edelbrau,New York,NY,,12,1,F,F,GOLDEN ROD,BEER,Edelbrau,New York,NY,,,1000+,12,1,W,,
1073310,F,GOLDEN ROD,BEER,Edelbrau,New York,NY,,12,1,F,F,GOLDEN ROD,BEER,Edelbrau,New York,NY,,,1000+,12,1,T,,
1073320,F,GOLDEN STEIN EASTERN PREMIUM,BEER,Schoenhofen Edelweiss,Chicago,IL,,12,2,F,F,GOLDEN STEIN EASTERN PREMIUM,BEER,Schoenhofen Edelweiss,Chicago,IL,,,40,12,2,,,
1073330,F,GOLDEN STEIN EASTERN PREMIUM,BEER,Drewry's Ltd.,South Bend,IN,,12,2,F,F,GOLDEN STEIN EASTERN PREMIUM,BEER,Drewry's Ltd.,South Bend,IN,,,40,12,2,,,
1073340,F,GOLDEN VELVET PREMIUM,BEER,Maier,Los Angeles,CA,Contents seam left,12,2,F,F,GOLDEN VELVET PREMIUM,BEER,Maier,Los Angeles,CA,Contents seam left,,65,12,2,,,
1073350,F,GOLDEN VELVET PREMIUM,BEER,Maier,Los Angeles,CA,,12,2,F,F,GOLDEN VELVET PREMIUM,BEER,Maier,Los Angeles,CA,,,65,12,2,,,
1073355,F,GOLDEN VELVET PREMIUM,BEER,Maier,Los Angeles,CA,Contents at top,12,2,F,F,GOLDEN VELVET PREMIUM,BEER,Maier,Los Angeles,CA,Contents at top,,,12,2,,,Yes
1073360,F,GOLDEN VELVET COLORADO,BEER,Tivoli,Denver,CO,,12,2,F,F,GOLDEN VELVET COLORADO,BEER,Tivoli,Denver,CO,,,12,12,2,,,
1073370,F,GOLDEN WEST PALE DRY,BEER,Pacific,Oakland,CA,,12,2,F,F,GOLDEN WEST PALE DRY,BEER,Pacific,Oakland,CA,,,450,12,2,,,
1073380,F,GRAIN BELT GOLDEN,BEER,Minneapolis,Minneapolis,MN,Metallic,12,1,F,F,GRAIN BELT GOLDEN,BEER,Minneapolis,Minneapolis,MN,Metallic,,15,12,1,,,
1073390,F,GRAIN BELT GOLDEN,BEER,Minneapolis,Minneapolis,MN,Dull metallic,12,1,F,F,GRAIN BELT GOLDEN,BEER,Minneapolis,Minneapolis,MN,Dull metallic,,15,12,1,,,
1073400,F,GRAIN BELT PREMIUM,BEER,Minneapolis,Minneapolis,MN,"Black ""Premium Beer""",12,2,F,F,GRAIN BELT PREMIUM,BEER,Minneapolis,Minneapolis,MN,"Black ""Premium Beer""",,5,12,2,,,
1074010,F,GRAIN BELT PREMIUM,BEER,Minneapolis,Minneapolis,MN,"Red ""Premium Beer""",12,2,F,F,GRAIN BELT PREMIUM,BEER,Minneapolis,Minneapolis,MN,"Red ""Premium Beer""",,5,12,2,,,
1074020,F,GRAIN BELT,BEER,Minneapolis,Minneapolis,MN,"Black ""Beer""",12,2,F,F,GRAIN BELT,BEER,Minneapolis,Minneapolis,MN,"Black ""Beer""",,5,12,2,,,
1074030,F,GRAIN BELT,BEER,Minneapolis,Minneapolis,MN,"Red ""Beer""",12,2,F,F,GRAIN BELT,BEER,Minneapolis,Minneapolis,MN,"Red ""Beer""",,5,12,2,,,
1074035,F,GRAND LAGER,BEER,Grand Lager,St. Charles,MO,,12,2,F,F,GRAND LAGER,BEER,Grand Lager,St. Charles,MO,,,,12,2,,,Yes
1074040,F,GRAND LAGER PREMIUM,BEER,Grand Lager,St. Charles,MO,,12,2,F,F,GRAND LAGER PREMIUM,BEER,Grand Lager,St. Charles,MO,,,50,12,2,,,
1074050,F,GRAND PRIZE,BEER,Gulf,Houston,TX,Dull-gray enamel,12,1,F,F,GRAND PRIZE,BEER,Gulf,Houston,TX,Dull-gray enamel,,250,12,1,OT,,
1074060,F,GRAND PRIZE,BEER,Gulf,Houston,TX,Dull metallic gray,12,1,F,F,GRAND PRIZE,BEER,Gulf,Houston,TX,Dull metallic gray,,175,12,1,OT,,
1074070,F,GRAND PRIZE LAGER,BEER,Gulf,Houston,TX,,12,1,F,F,GRAND PRIZE LAGER,BEER,Gulf,Houston,TX,,,175,12,1,OT,,
1074080,F,GRAND PRIZE,BEER,Gulf,Houston,TX,,12,1,F,F,GRAND PRIZE,BEER,Gulf,Houston,TX,,,750,12,1,W,,
1074090,F,GRAND PRIZE,BEER,Gulf,Houston,TX,,12,1,F,F,GRAND PRIZE,BEER,Gulf,Houston,TX,,,150,12,1,W,,
1074100,F,GRAND PRIZE,BEER,Gulf,Houston,TX,,12,1,F,F,GRAND PRIZE,BEER,Gulf,Houston,TX,,,50,12,1,T,,
1074110,F,GRAND PRIZE PREMIO GORDO,BEER,Gulf,Houston,TX,,12,1,F,F,GRAND PRIZE PREMIO GORDO,BEER,Gulf,Houston,TX,,,600,12,1,,,
1074120,F,GRAND PRIZE PALE DRY,BEER,Gulf,Houston,TX,,12,1,F,F,GRAND PRIZE PALE DRY,BEER,Gulf,Houston,TX,,,30,12,1,,,
1074130,F,GRAND PRIZE PALE DRY,BEER,Gulf,Houston,TX,,12,2,F,F,GRAND PRIZE PALE DRY,BEER,Gulf,Houston,TX,,,30,12,2,,,
1074140,F,GRAND PRIZE PALE DRY,BEER,Gulf,Houston,TX,"""Pale Dry""",12,1,F,F,GRAND PRIZE PALE DRY,BEER,Gulf,Houston,TX,"""Pale Dry""",,35,12,1,,,
1074150,F,GRAND PRIZE LIGHT DRY,BEER,Gulf,Houston,TX,"""Light Dry""",12,1,F,F,GRAND PRIZE LIGHT DRY,BEER,Gulf,Houston,TX,"""Light Dry""",,35,12,1,,,
1074160,F,GRAND PRIZE,BEER,Gulf,Houston,TX,,12,1,F,F,GRAND PRIZE,BEER,Gulf,Houston,TX,,,35,12,1,,,
1074170,F,GRAND PRIZE PREMIUM QUALITY,BEER,Gulf,Houston,TX,,12,1,F,F,GRAND PRIZE PREMIUM QUALITY,BEER,Gulf,Houston,TX,,,40,12,1,,,
1074175,F,GRAND UNION PREMIUM,BEER,Eastern Brewing Corp.,Hammonton,NJ,,12,2,F,F,GRAND UNION PREMIUM,BEER,Eastern Brewing Corp.,Hammonton,NJ,,,,12,2,,,Yes
1074180,F,GRAND UNION PREMIUM,ALE,Gilt Edge,Trenton,NJ,,12,2,F,F,GRAND UNION PREMIUM,ALE,Gilt Edge,Trenton,NJ,,,150,12,2,,,
1074190,F,GRAND UNION PREMIUM,BEER,Gilt Edge,Trenton,NJ,,12,2,F,F,GRAND UNION PREMIUM,BEER,Gilt Edge,Trenton,NJ,,,25,12,2,,,
1074195,F,GRAND UNION PREMIUM,BEER,Century,Norfolk,VA,,12,2,F,,GRAND UNION PREMIUM,BEER,Century,Norfolk,VA,,,,12,2,,,Yes
1074200,F,GREAT FALLS SELECT FINE,BEER,Sicks' Great Falls,Great Falls,MT,"""ALCOHOLIC CONTENT NOT OVER 4% BY...""",12,1,F,F,GREAT FALLS SELECT FINE,BEER,Sicks' Great Falls,Great Falls,MT,"""ALCOHOLIC CONTENT NOT OVER 4% BY...""",,100,12,1,T,,
1074210,F,GREAT FALLS SELECT FINE,BEER,Great Falls,Great Falls,MT,"""...CONTENT NOT IN EXCESS OF 4% BY...""",12,1,F,F,GREAT FALLS SELECT FINE,BEER,Great Falls,Great Falls,MT,"""...CONTENT NOT IN EXCESS OF 4% BY...""",,20,12,1,,,
1074220,F,GREAT FALLS SELECT FINE,BEER,Great Falls,Great Falls,MT,No alcohol statement,12,1,F,F,GREAT FALLS SELECT FINE,BEER,Great Falls,Great Falls,MT,No alcohol statement,,20,12,1,,,
1074230,F,GREAT FALLS SELECT FINE,BEER,Great Falls,Great Falls,MT,"Cowboy, alcohol content NIEO 4%",12,2,F,F,GREAT FALLS SELECT FINE,BEER,Great Falls,Great Falls,MT,"Cowboy, alcohol content NIEO 4%",,10,12,2,,,
1074240,F,GREAT FALLS SELECT FINE,BEER,Great Falls,Great Falls,MT,"No cowboy, alcohol content NIEO 4%",12,2,F,F,GREAT FALLS SELECT FINE,BEER,Great Falls,Great Falls,MT,"No cowboy, alcohol content NIEO 4%",,10,12,2,,,
1074250,F,GREAT FALLS SELECT FINE,BEER,Great Falls,Great Falls,MT,"Cowboy, no alcohol statement",12,2,F,F,GREAT FALLS SELECT FINE,BEER,Great Falls,Great Falls,MT,"Cowboy, no alcohol statement",,10,12,2,,,
1074260,F,GREAT FALLS SELECT,BEER,Great Falls,Great Falls,MT,,12,2,F,F,GREAT FALLS SELECT,BEER,Great Falls,Great Falls,MT,,,8,12,2,,,
1074270,F,GREAT LAKES PREMIUM,BEER,Schoenhofen Edelweiss,Chicago,IL,Gray lakes,12,1,F,F,GREAT LAKES PREMIUM,BEER,Schoenhofen Edelweiss,Chicago,IL,Gray lakes,,65,12,1,,,
1074280,F,GREAT LAKES PREMIUM,BEER,Schoenhofen Edelweiss,Chicago,IL,White lakes,12,1,F,F,GREAT LAKES PREMIUM,BEER,Schoenhofen Edelweiss,Chicago,IL,White lakes,,65,12,1,,,
1074290,F,GREAT LAKES PREMIUM,BEER,Schoenhofen Edelweiss,Chicago,IL,,12,2,F,F,GREAT LAKES PREMIUM,BEER,Schoenhofen Edelweiss,Chicago,IL,,,20,12,2,,,
1074300,F,GREAT LAKES PREMIUM,BEER,Schoenhofen Edelweiss,Chicago,IL,,12,2,F,F,GREAT LAKES PREMIUM,BEER,Schoenhofen Edelweiss,Chicago,IL,,,18,12,2,,,
1074310,F,GREAT LAKES PREMIUM,BEER,Drewry's Ltd.,South Bend,IN,,12,2,F,F,GREAT LAKES PREMIUM,BEER,Drewry's Ltd.,South Bend,IN,,,20,12,2,,,
1074320,F,GREAT LAKES PREMIUM,BEER,Drewry's Ltd.,South Bend,IN,,12,2,F,F,GREAT LAKES PREMIUM,BEER,Drewry's Ltd.,South Bend,IN,,,18,12,2,,,
1074325,F,GREAT LAKES PREMIUM,BEER,Great Lakes,South Bend,IN,,12,2,F,F,GREAT LAKES PREMIUM,BEER,Great Lakes,South Bend,IN,,,,12,2,,,Yes
1074330,F,GRETZ PREMIUM,BEER,Jacob Ruppert,New York,NY,,12,2,F,F,GRETZ PREMIUM,BEER,Jacob Ruppert,New York,NY,,,40,12,2,,,
1074340,F,GRETZ PREMIUM,BEER,Esslinger's,Philadelphia,PA,Gold ribbons,12,2,F,F,GRETZ PREMIUM,BEER,Esslinger's,Philadelphia,PA,Gold ribbons,,40,12,2,,,
1074350,F,GRETZ PREMIUM,BEER,Esslinger's,Philadelphia,PA,Silver ribbons,12,2,F,F,GRETZ PREMIUM,BEER,Esslinger's,Philadelphia,PA,Silver ribbons,,40,12,2,,,
1074360,F,GRETZ,BEER,William Gretz,Philadelphia,PA,,12,1,F,F,GRETZ,BEER,William Gretz,Philadelphia,PA,,,125,12,1,,Yes,
1074370,F,GRETZ,BEER,William Gretz,Philadelphia,PA,,12,1,F,F,GRETZ,BEER,William Gretz,Philadelphia,PA,,,150,12,1,,Yes,
1074380,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"""EXTRA PREMIUM""",12,1,F,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"""EXTRA PREMIUM""",,150,12,1,,Yes,
1074390,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"""MADE THE OLD-FASHIONED WAY""",12,1,F,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"""MADE THE OLD-FASHIONED WAY""",,150,12,1,,Yes,
1074400,F,GRETZ,BEER,,,,,,,F,F,GRETZ,BEER,,,,,Front of 75-1 to 75-12,,,,,,
1075010,F,GRETZ,,William Gretz,Philadelphia,PA,"Alfa Romeo, gold oval",12,1,F,S,GRETZ,,William Gretz,Philadelphia,PA,"Alfa Romeo, gold oval",,250,12,1,,Yes,
1075020,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Austin Healey, gold oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Austin Healey, gold oval",,250,12,1,,Yes,
1075030,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Corvette, gold oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Corvette, gold oval",,250,12,1,,Yes,
1075040,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Fiat 600, gold oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Fiat 600, gold oval",,250,12,1,,Yes,
1075050,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Fiat 1100, gold oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Fiat 1100, gold oval",,250,12,1,,Yes,
1075060,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Ford Thunderbird, gold oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Ford Thunderbird, gold oval",,250,12,1,,Yes,
1075070,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Isetta BMW, gold oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Isetta BMW, gold oval",,250,12,1,,Yes,
1075080,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Mercedes Benz, gold oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Mercedes Benz, gold oval",,250,12,1,,Yes,
1075090,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"MGA Convertible, gold oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"MGA Convertible, gold oval",,250,12,1,,Yes,
1075100,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"MGA Hardtop, gold oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"MGA Hardtop, gold oval",,250,12,1,,Yes,
1075110,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Porsche 1500, gold oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Porsche 1500, gold oval",,250,12,1,,Yes,
1075120,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Saab 93, gold oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Saab 93, gold oval",,250,12,1,,Yes,
1075130,F,GRETZ,BEER,,,,,,,F,F,GRETZ,BEER,,,,,Front of 14-25,,,,,,
1075140,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Alfa Romeo, silver oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Alfa Romeo, silver oval",,175,12,1,,Yes,
1075150,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Austin Healey, silver oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Austin Healey, silver oval",,175,12,1,,Yes,
1075160,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Corvette, silver oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Corvette, silver oval",,175,12,1,,Yes,
1075170,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Fiat 600, silver oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Fiat 600, silver oval",,175,12,1,,Yes,
1075180,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Fiat 1100, silver oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Fiat 1100, silver oval",,175,12,1,,Yes,
1075190,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Ford Thunderbird, silver oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Ford Thunderbird, silver oval",,175,12,1,,Yes,
1075200,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Isetta BMW, silver oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Isetta BMW, silver oval",,175,12,1,,Yes,
1075210,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Mercedes Benz, silver oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Mercedes Benz, silver oval",,175,12,1,,Yes,
1075220,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"MGA Convertible, silver oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"MGA Convertible, silver oval",,175,12,1,,Yes,
1075230,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"MGA Hardtop, silver oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"MGA Hardtop, silver oval",,175,12,1,,Yes,
1075240,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Porsche 1500, silver oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Porsche 1500, silver oval",,175,12,1,,Yes,
1075250,F,GRETZ,BEER,William Gretz,Philadelphia,PA,"Saab 93, silver oval",12,1,F,S,GRETZ,BEER,William Gretz,Philadelphia,PA,"Saab 93, silver oval",,175,12,1,,Yes,
1075260,F,GRETZ TOONER SCHOONER,BEER,Wm. Gretz,Philadelphia,PA,A Bird…,12,1,F,F,GRETZ TOONER SCHOONER,BEER,Wm. Gretz,Philadelphia,PA,A Bird…,,200,12,1,,,
1075270,F,GRETZ TOONER SCHOONER,BEER,Wm. Gretz,Philadelphia,PA,"""A HOT TIME IN THE OLD TOWN TONIGHT""",12,1,F,F,GRETZ TOONER SCHOONER,BEER,Wm. Gretz,Philadelphia,PA,"""A HOT TIME IN THE OLD TOWN TONIGHT""",,200,12,1,,,
1075280,F,GRETZ TOONER SCHOONER,BEER,Wm. Gretz,Philadelphia,PA,After The Ball,12,1,F,F,GRETZ TOONER SCHOONER,BEER,Wm. Gretz,Philadelphia,PA,After The Ball,,200,12,1,,,
